.feature	log2FoldChange	pvalue	padj	colors
AOC1	-1.538560134579626	1.71236732827567e-5	2.4510532080146365e-5	grey
ACAT1	-1.8071746804150735	1.8877109926427227e-36	9.681100092321578e-36	red
DLD	-1.1684823882875515	3.742521180951625e-33	1.742428424645045e-32	turquoise
IL4I1	3.558933537014139	2.746036131184335e-66	3.258802123773143e-65	grey
KMO	1.0674417989252676	1.3999438089050213e-5	2.010008811434521e-5	grey
ALDH8A1	-2.17209119930172	5.571379822508188e-15	1.2714493208108561e-14	greenyellow
CAT	-1.645525340137108	4.689979527083191e-40	2.6677620771886136e-39	turquoise
ECHS1	-1.3744733473719553	4.96077539958237e-45	3.2880959665518624e-44	turquoise
IDO1	6.311558730348228	7.4738170401012575e-140	5.88024114717582e-138	black
DDC	-1.1538992089759383	2.1030820163950572e-4	2.8422608967136105e-4	greenyellow
ALDH1B1	-1.5117110401448568	2.40076448309453e-23	8.166391761763039e-23	turquoise
CYP1B1	-2.4416322805475184	2.7040029091346634e-32	1.2244329719974755e-31	blue
AOX1	-1.8773092447315993	7.196778202736217e-13	1.4592401844601436e-12	greenyellow
HADH	-2.0785387137339906	6.053691779792959e-95	1.4295622796004585e-93	greenyellow
TDO2	1.901135816990171	1.8932408489578922e-34	9.155699318320303e-34	midnightblue
HAAO	1.4037292101981156	3.26229109108612e-20	9.847784267151508e-20	grey
AFMID	-1.2209798296935954	3.062005603033935e-23	1.0374683580465911e-22	paleturquoise
MAOA	-1.4824681460135993	1.3337318197938465e-15	3.1513891468273603e-15	turquoise
